"subject" "activity" "measurement" "mean"
"53" "SITTING" 23 "tbodyacc-mean-x" 0.273351251617647
"54" "SITTING" 24 "tbodyacc-mean-x" 0.273475690147059
"55" "SITTING" 25 "tbodyacc-mean-x" 0.278541482461538
"56" "SITTING" 26 "tbodyacc-mean-x" 0.258243530166667
"57" "SITTING" 27 "tbodyacc-mean-x" 0.273941302571429
"58" "SITTING" 28 "tbodyacc-mean-x" 0.276977629444444
"59" "SITTING" 29 "tbodyacc-mean-x" 0.2771799775
"60" "SITTING" 30 "tbodyacc-mean-x" 0.268336081379032
"61" "STANDING" 1 "tbodyacc-mean-x" 0.278917629056604
"62" "STANDING" 2 "tbodyacc-mean-x" 0.277911472222222
"63" "STANDING" 3 "tbodyacc-mean-x" 0.280046513278689
"64" "STANDING" 4 "tbodyacc-mean-x" 0.280499745892857
"65" "STANDING" 5 "tbodyacc-mean-x" 0.282544390892857
"66" "STANDING" 6 "tbodyacc-mean-x" 0.280346248596491
"67" "STANDING" 7 "tbodyacc-mean-x" 0.282723539433962
"68" "STANDING" 8 "tbodyacc-mean-x" 0.279620986111111
"69" "STANDING" 9 "tbodyacc-mean-x" 0.282310057333333
"70" "STANDING" 10 "tbodyacc-mean-x" 0.276650300681818
"71" "STANDING" 11 "tbodyacc-mean-x" 0.277715562765957
"72" "STANDING" 12 "tbodyacc-mean-x" 0.277405834918033
"73" "STANDING" 13 "tbodyacc-mean-x" 0.277758431052632
"74" "STANDING" 14 "tbodyacc-mean-x" 0.280545613833333
"75" "STANDING" 15 "tbodyacc-mean-x" 0.278915803962264
"76" "STANDING" 16 "tbodyacc-mean-x" 0.283497402948718
"77" "STANDING" 17 "tbodyacc-mean-x" 0.277942503333333
"78" "STANDING" 18 "tbodyacc-mean-x" 0.278458805890411
"79" "STANDING" 19 "tbodyacc-mean-x" 0.27817226
"80" "STANDING" 20 "tbodyacc-mean-x" 0.278076904657534
"81" "STANDING" 21 "tbodyacc-mean-x" 0.27695224258427
"82" "STANDING" 22 "tbodyacc-mean-x" 0.279053861587302
"83" "STANDING" 23 "tbodyacc-mean-x" 0.277899323235294
"84" "STANDING" 24 "tbodyacc-mean-x" 0.280348883913043
"85" "STANDING" 25 "tbodyacc-mean-x" 0.278013701621622
"86" "STANDING" 26 "tbodyacc-mean-x" 0.281127035405405
"87" "STANDING" 27 "tbodyacc-mean-x" 0.279566921625
"88" "STANDING" 28 "tbodyacc-mean-x" 0.277795069113924
"89" "STANDING" 29 "tbodyacc-mean-x" 0.277965065846154
"90" "STANDING" 30 "tbodyacc-mean-x" 0.277112699152542
"91" "WALKING" 1 "tbodyacc-mean-x" 0.277330758736842
"92" "WALKING" 2 "tbodyacc-mean-x" 0.276426586440678
"93" "WALKING" 3 "tbodyacc-mean-x" 0.275567462068966
"94" "WALKING" 4 "tbodyacc-mean-x" 0.278582015166667
"95" "WALKING" 5 "tbodyacc-mean-x" 0.27784234625
"96" "WALKING" 6 "tbodyacc-mean-x" 0.283658868070175
"97" "WALKING" 7 "tbodyacc-mean-x" 0.275592961754386
"98" "WALKING" 8 "tbodyacc-mean-x" 0.27468631
"99" "WALKING" 9 "tbodyacc-mean-x" 0.278502842115385
"100" "WALKING" 10 "tbodyacc-mean-x" 0.278574076603774
"101" "WALKING" 11 "tbodyacc-mean-x" 0.271821892881356
"102" "WALKING" 12 "tbodyacc-mean-x" 0.2771286656
"103" "WALKING" 13 "tbodyacc-mean-x" 0.275883130350877
"104" "WALKING" 14 "tbodyacc-mean-x" 0.271959598644068
"105" "WALKING" 15 "tbodyacc-mean-x" 0.273899207962963
"106" "WALKING" 16 "tbodyacc-mean-x" 0.276023564509804
"107" "WALKING" 17 "tbodyacc-mean-x" 0.272341855245902
"108" "WALKING" 18 "tbodyacc-mean-x" 0.273887758571429
"109" "WALKING" 19 "tbodyacc-mean-x" 0.273931172307692
"110" "WALKING" 20 "tbodyacc-mean-x" 0.272589336470588
"111" "WALKING" 21 "tbodyacc-mean-x" 0.279183526730769
"112" "WALKING" 22 "tbodyacc-mean-x" 0.27886459
"113" "WALKING" 23 "tbodyacc-mean-x" 0.273211884237288
"114" "WALKING" 24 "tbodyacc-mean-x" 0.276980816034483
"115" "WALKING" 25 "tbodyacc-mean-x" 0.278992759054054
"116" "WALKING" 26 "tbodyacc-mean-x" 0.279264443728814
"117" "WALKING" 27 "tbodyacc-mean-x" 0.276849485438596
"118" "WALKING" 28 "tbodyacc-mean-x" 0.281228223888889
"119" "WALKING" 29 "tbodyacc-mean-x" 0.271999916792453
"120" "WALKING" 30 "tbodyacc-mean-x" 0.276406758
"121" "WALKING_DOWNSTAIRS" 1 "tbodyacc-mean-x" 0.289188320408163
"122" "WALKING_DOWNSTAIRS" 2 "tbodyacc-mean-x" 0.27761534806383
"123" "WALKING_DOWNSTAIRS" 3 "tbodyacc-mean-x" 0.292423484693878
"124" "WALKING_DOWNSTAIRS" 4 "tbodyacc-mean-x" 0.279965329555556
"125" "WALKING_DOWNSTAIRS" 5 "tbodyacc-mean-x" 0.29354392712766
"126" "WALKING_DOWNSTAIRS" 6 "tbodyacc-mean-x" 0.277045258145833
"127" "WALKING_DOWNSTAIRS" 7 "tbodyacc-mean-x" 0.28030708
"128" "WALKING_DOWNSTAIRS" 8 "tbodyacc-mean-x" 0.283484089210526
"129" "WALKING_DOWNSTAIRS" 9 "tbodyacc-mean-x" 0.295923445
"130" "WALKING_DOWNSTAIRS" 10 "tbodyacc-mean-x" 0.290401594315789
"131" "WALKING_DOWNSTAIRS" 11 "tbodyacc-mean-x" 0.291605631956522
"132" "WALKING_DOWNSTAIRS" 12 "tbodyacc-mean-x" 0.281521097391304
"133" "WALKING_DOWNSTAIRS" 13 "tbodyacc-mean-x" 0.294907553404255
"134" "WALKING_DOWNSTAIRS" 14 "tbodyacc-mean-x" 0.293422115555556
"135" "WALKING_DOWNSTAIRS" 15 "tbodyacc-mean-x" 0.280198851190476
"136" "WALKING_DOWNSTAIRS" 16 "tbodyacc-mean-x" 0.295586802191489
"137" "WALKING_DOWNSTAIRS" 17 "tbodyacc-mean-x" 0.29391828326087
"138" "WALKING_DOWNSTAIRS" 18 "tbodyacc-mean-x" 0.288439468909091
"139" "WALKING_DOWNSTAIRS" 19 "tbodyacc-mean-x" 0.262688053871795
"140" "WALKING_DOWNSTAIRS" 20 "tbodyacc-mean-x" 0.296144421355556
"141" "WALKING_DOWNSTAIRS" 21 "tbodyacc-mean-x" 0.3014610196
"142" "WALKING_DOWNSTAIRS" 22 "tbodyacc-mean-x" 0.284458963861111
"143" "WALKING_DOWNSTAIRS" 23 "tbodyacc-mean-x" 0.289897411148148
"144" "WALKING_DOWNSTAIRS" 24 "tbodyacc-mean-x" 0.288631208909091
"145" "WALKING_DOWNSTAIRS" 25 "tbodyacc-mean-x" 0.291329666206897
"146" "WALKING_DOWNSTAIRS" 26 "tbodyacc-mean-x" 0.2792845828
"147" "WALKING_DOWNSTAIRS" 27 "tbodyacc-mean-x" 0.2975441875
"148" "WALKING_DOWNSTAIRS" 28 "tbodyacc-mean-x" 0.293642076521739
"149" "WALKING_DOWNSTAIRS" 29 "tbodyacc-mean-x" 0.293140441083333
"150" "WALKING_DOWNSTAIRS" 30 "tbodyacc-mean-x" 0.283190646967742
"151" "WALKING_UPSTAIRS" 1 "tbodyacc-mean-x" 0.255461689622641
"152" "WALKING_UPSTAIRS" 2 "tbodyacc-mean-x" 0.247164790395833
"153" "WALKING_UPSTAIRS" 3 "tbodyacc-mean-x" 0.260819873067797
"154" "WALKING_UPSTAIRS" 4 "tbodyacc-mean-x" 0.270876696730769
"155" "WALKING_UPSTAIRS" 5 "tbodyacc-mean-x" 0.268459469914894
"156" "WALKING_UPSTAIRS" 6 "tbodyacc-mean-x" 0.268229355098039
"157" "WALKING_UPSTAIRS" 7 "tbodyacc-mean-x" 0.248706923078431
"158" "WALKING_UPSTAIRS" 8 "tbodyacc-mean-x" 0.258880152048781
"159" "WALKING_UPSTAIRS" 9 "tbodyacc-mean-x" 0.262436475714286
"160" "WALKING_UPSTAIRS" 10 "tbodyacc-mean-x" 0.267121853404255
"161" "WALKING_UPSTAIRS" 11 "tbodyacc-mean-x" 0.263775859277778
"162" "WALKING_UPSTAIRS" 12 "tbodyacc-mean-x" 0.272970338653846
"163" "WALKING_UPSTAIRS" 13 "tbodyacc-mean-x" 0.258203939581818
"164" "WALKING_UPSTAIRS" 14 "tbodyacc-mean-x" 0.26242106612963
"165" "WALKING_UPSTAIRS" 15 "tbodyacc-mean-x" 0.270187595833333
"166" "WALKING_UPSTAIRS" 16 "tbodyacc-mean-x" 0.255986102627451
"167" "WALKING_UPSTAIRS" 17 "tbodyacc-mean-x" 0.252604768583333
"168" "WALKING_UPSTAIRS" 18 "tbodyacc-mean-x" 0.265401201896552
"169" "WALKING_UPSTAIRS" 19 "tbodyacc-mean-x" 0.242118808925
"170" "WALKING_UPSTAIRS" 20 "tbodyacc-mean-x" 0.252098317156863
"171" "WALKING_UPSTAIRS" 21 "tbodyacc-mean-x" 0.265194544680851
"172" "WALKING_UPSTAIRS" 22 "tbodyacc-mean-x" 0.248391534566667
"173" "WALKING_UPSTAIRS" 23 "tbodyacc-mean-x" 0.249995171031373
"174" "WALKING_UPSTAIRS" 24 "tbodyacc-mean-x" 0.269881106779661
"175" "WALKING_UPSTAIRS" 25 "tbodyacc-mean-x" 0.277995411384615
"176" "WALKING_UPSTAIRS" 26 "tbodyacc-mean-x" 0.272691394545455
"177" "WALKING_UPSTAIRS" 27 "tbodyacc-mean-x" 0.265770253921569
"178" "WALKING_UPSTAIRS" 28 "tbodyacc-mean-x" 0.262005841764706
"179" "WALKING_UPSTAIRS" 29 "tbodyacc-mean-x" 0.265423066877551
"180" "WALKING_UPSTAIRS" 30 "tbodyacc-mean-x" 0.271415642261538
"181" "LAYING" 1 "tbodyacc-mean-y" -0.0405139534294
"182" "LAYING" 2 "tbodyacc-mean-y" -0.0181587397583333
"183" "LAYING" 3 "tbodyacc-mean-y" -0.0189556785048387
"184" "LAYING" 4 "tbodyacc-mean-y" -0.0150031841055556
"185" "LAYING" 5 "tbodyacc-mean-y" -0.0183042123269231
"186" "LAYING" 6 "tbodyacc-mean-y" -0.0102529170561404
"187" "LAYING" 7 "tbodyacc-mean-y" -0.0204411516884615
"188" "LAYING" 8 "tbodyacc-mean-y" -0.0212281733881481
"189" "LAYING" 9 "tbodyacc-mean-y" -0.020526821662
"190" "LAYING" 10 "tbodyacc-mean-y" -0.024294484137931
"191" "LAYING" 11 "tbodyacc-mean-y" -0.0176598052315789
"192" "LAYING" 12 "tbodyacc-mean-y" -0.0175203917146667
"193" "LAYING" 13 "tbodyacc-mean-y" -0.020440454366129
"194" "LAYING" 14 "tbodyacc-mean-y" -0.0113424652490196
"195" "LAYING" 15 "tbodyacc-mean-y" -0.0166296542054167
"196" "LAYING" 16 "tbodyacc-mean-y" -0.0166103510562857
"197" "LAYING" 17 "tbodyacc-mean-y" -0.0168462006729577
"198" "LAYING" 18 "tbodyacc-mean-y" -0.0173937684615385
"199" "LAYING" 19 "tbodyacc-mean-y" -0.0171426864421687
"200" "LAYING" 20 "tbodyacc-mean-y" -0.0144406281132353
"201" "LAYING" 21 "tbodyacc-mean-y" -0.0184233048415556
"202" "LAYING" 22 "tbodyacc-mean-y" -0.0142629864502778
"203" "LAYING" 23 "tbodyacc-mean-y" -0.0216553835833333
"204" "LAYING" 24 "tbodyacc-mean-y" -0.0173555210111111
"205" "LAYING" 25 "tbodyacc-mean-y" -0.0188943663671233
"206" "LAYING" 26 "tbodyacc-mean-y" -0.0191895728026316
"207" "LAYING" 27 "tbodyacc-mean-y" -0.0179867611216216
"208" "LAYING" 28 "tbodyacc-mean-y" -0.0167537858225
"209" "LAYING" 29 "tbodyacc-mean-y" -0.0171965484202899
"210" "LAYING" 30 "tbodyacc-mean-y" -0.0194494098614286
"211" "SITTING" 1 "tbodyacc-mean-y" -0.00130828765170213
"212" "SITTING" 2 "tbodyacc-mean-y" -0.0156879937282609
"213" "SITTING" 3 "tbodyacc-mean-y" -0.00350299841730769
"214" "SITTING" 4 "tbodyacc-mean-y" -0.007163065158
"215" "SITTING" 5 "tbodyacc-mean-y" -0.00990083527045455
"216" "SITTING" 6 "tbodyacc-mean-y" -0.0145911615290909
"217" "SITTING" 7 "tbodyacc-mean-y" -0.01461097580375
"218" "SITTING" 8 "tbodyacc-mean-y" -0.00672550621304348
"219" "SITTING" 9 "tbodyacc-mean-y" -0.02701677698
"220" "SITTING" 10 "tbodyacc-mean-y" -0.015042681852037
"221" "SITTING" 11 "tbodyacc-mean-y" -0.0149195616754717
"222" "SITTING" 12 "tbodyacc-mean-y" -0.0157892988523529
"223" "SITTING" 13 "tbodyacc-mean-y" -0.00587732936326531
"224" "SITTING" 14 "tbodyacc-mean-y" -0.00870565463888889
"225" "SITTING" 15 "tbodyacc-mean-y" -0.0117188472271186
"226" "SITTING" 16 "tbodyacc-mean-y" -0.0102497939956522
"227" "SITTING" 17 "tbodyacc-mean-y" -0.014156274084375
"228" "SITTING" 18 "tbodyacc-mean-y" -0.0128691279736842
"229" "SITTING" 19 "tbodyacc-mean-y" -0.016739260030137
"230" "SITTING" 20 "tbodyacc-mean-y" -0.0147229305131818
"231" "SITTING" 21 "tbodyacc-mean-y" -0.0144009705494118
"232" "SITTING" 22 "tbodyacc-mean-y" -0.0123468446419355
"233" "SITTING" 23 "tbodyacc-mean-y" -0.0133945015676471
"234" "SITTING" 24 "tbodyacc-mean-y" -0.0131255097938235
"235" "SITTING" 25 "tbodyacc-mean-y" -0.0147696808030769
"236" "SITTING" 26 "tbodyacc-mean-y" -0.00713364541358974
"237" "SITTING" 27 "tbodyacc-mean-y" -0.0155269799285714
"238" "SITTING" 28 "tbodyacc-mean-y" -0.0185404441258333
"239" "SITTING" 29 "tbodyacc-mean-y" -0.016630680375
"240" "SITTING" 30 "tbodyacc-mean-y" -0.00804731295322581
"241" "STANDING" 1 "tbodyacc-mean-y" -0.0161375901037736
"242" "STANDING" 2 "tbodyacc-mean-y" -0.0184208270166667
"243" "STANDING" 3 "tbodyacc-mean-y" -0.0143376555065574
"244" "STANDING" 4 "tbodyacc-mean-y" -0.00948911098553571
"245" "STANDING" 5 "tbodyacc-mean-y" -0.00700418554517857
"246" "STANDING" 6 "tbodyacc-mean-y" -0.0181236327175439
"247" "STANDING" 7 "tbodyacc-mean-y" -0.0145740341037736
"248" "STANDING" 8 "tbodyacc-mean-y" -0.0148113067148148
"249" "STANDING" 9 "tbodyacc-mean-y" -0.0200454954022222
"250" "STANDING" 10 "tbodyacc-mean-y" -0.0155418603409091
"251" "STANDING" 11 "tbodyacc-mean-y" -0.0171990886595745
"252" "STANDING" 12 "tbodyacc-mean-y" -0.0169002543196721
"253" "STANDING" 13 "tbodyacc-mean-y" -0.0167891993964912
"254" "STANDING" 14 "tbodyacc-mean-y" -0.01520781344
"255" "STANDING" 15 "tbodyacc-mean-y" -0.0183516360396226
"256" "STANDING" 16 "tbodyacc-mean-y" -0.0165999672935897
"257" "STANDING" 17 "tbodyacc-mean-y" -0.0174120064169231
"258" "STANDING" 18 "tbodyacc-mean-y" -0.0166353518150685
"259" "STANDING" 19 "tbodyacc-mean-y" -0.0154244056945205
"260" "STANDING" 20 "tbodyacc-mean-y" -0.0180695049161644
"261" "STANDING" 21 "tbodyacc-mean-y" -0.0167084730205618
"262" "STANDING" 22 "tbodyacc-mean-y" -0.0158563207496825
"263" "STANDING" 23 "tbodyacc-mean-y" -0.0177475547867647
"264" "STANDING" 24 "tbodyacc-mean-y" -0.0144785340348986
"265" "STANDING" 25 "tbodyacc-mean-y" -0.0163569730274324
"266" "STANDING" 26 "tbodyacc-mean-y" -0.0166608306652703
"267" "STANDING" 27 "tbodyacc-mean-y" -0.016593236445
"268" "STANDING" 28 "tbodyacc-mean-y" -0.0172635124672152
"269" "STANDING" 29 "tbodyacc-mean-y" -0.0172605869061538
"270" "STANDING" 30 "tbodyacc-mean-y" -0.0170163887813559
"271" "WALKING" 1 "tbodyacc-mean-y" -0.0173838185273684
"272" "WALKING" 2 "tbodyacc-mean-y" -0.0185949199145763
"273" "WALKING" 3 "tbodyacc-mean-y" -0.0171767844203448
"274" "WALKING" 4 "tbodyacc-mean-y" -0.0148399475341667
"275" "WALKING" 5 "tbodyacc-mean-y" -0.0172850317482679
"276" "WALKING" 6 "tbodyacc-mean-y" -0.0168954189082456
"277" "WALKING" 7 "tbodyacc-mean-y" -0.018653665345614
"278" "WALKING" 8 "tbodyacc-mean-y" -0.0186628865310417
"279" "WALKING" 9 "tbodyacc-mean-y" -0.0180891971284423
"280" "WALKING" 10 "tbodyacc-mean-y" -0.017022351190566
"281" "WALKING" 11 "tbodyacc-mean-y" -0.0166475833623729
"282" "WALKING" 12 "tbodyacc-mean-y" -0.015560927606
"283" "WALKING" 13 "tbodyacc-mean-y" -0.0185660651947368
"284" "WALKING" 14 "tbodyacc-mean-y" -0.0217785380966102
"285" "WALKING" 15 "tbodyacc-mean-y" -0.0170809740090741
"286" "WALKING" 16 "tbodyacc-mean-y" -0.0204286929452941
"287" "WALKING" 17 "tbodyacc-mean-y" -0.0184875403339344
"288" "WALKING" 18 "tbodyacc-mean-y" -0.0178023631866071
"289" "WALKING" 19 "tbodyacc-mean-y" -0.0191773587903846
"290" "WALKING" 20 "tbodyacc-mean-y" -0.021199992245098
"291" "WALKING" 21 "tbodyacc-mean-y" -0.0181610317526923
"292" "WALKING" 22 "tbodyacc-mean-y" -0.0167213607957174
"293" "WALKING" 23 "tbodyacc-mean-y" -0.0183618711932203
"294" "WALKING" 24 "tbodyacc-mean-y" -0.0225446400534483
"295" "WALKING" 25 "tbodyacc-mean-y" -0.0186477624716216
"296" "WALKING" 26 "tbodyacc-mean-y" -0.0154259586949153
"297" "WALKING" 27 "tbodyacc-mean-y" -0.0166478783221912
"298" "WALKING" 28 "tbodyacc-mean-y" -0.0156759722981481
"299" "WALKING" 29 "tbodyacc-mean-y" -0.0162915600588679
"300" "WALKING" 30 "tbodyacc-mean-y" -0.0175880385730769
"301" "WALKING_DOWNSTAIRS" 1 "tbodyacc-mean-y" -0.00991850461020408
"302" "WALKING_DOWNSTAIRS" 2 "tbodyacc-mean-y" -0.0226614158361702
"303" "WALKING_DOWNSTAIRS" 3 "tbodyacc-mean-y" -0.0193554079328571
"304" "WALKING_DOWNSTAIRS" 4 "tbodyacc-mean-y" -0.00980200850666667
"305" "WALKING_DOWNSTAIRS" 5 "tbodyacc-mean-y" -0.00850107533191489
"306" "WALKING_DOWNSTAIRS" 6 "tbodyacc-mean-y" -0.019536840063125
"307" "WALKING_DOWNSTAIRS" 7 "tbodyacc-mean-y" -0.0166332372978723
"308" "WALKING_DOWNSTAIRS" 8 "tbodyacc-mean-y" -0.0211058674973684
"309" "WALKING_DOWNSTAIRS" 9 "tbodyacc-mean-y" -0.0203994269075476
"310" "WALKING_DOWNSTAIRS" 10 "tbodyacc-mean-y" -0.0200050770710526
"311" "WALKING_DOWNSTAIRS" 11 "tbodyacc-mean-y" -0.0178097721219565
"312" "WALKING_DOWNSTAIRS" 12 "tbodyacc-mean-y" -0.018084266865793
"313" "WALKING_DOWNSTAIRS" 13 "tbodyacc-mean-y" -0.0143723839108511
"314" "WALKING_DOWNSTAIRS" 14 "tbodyacc-mean-y" -0.0200141413657778
"315" "WALKING_DOWNSTAIRS" 15 "tbodyacc-mean-y" -0.00563047804309524
"316" "WALKING_DOWNSTAIRS" 16 "tbodyacc-mean-y" -0.0183898583787234
"317" "WALKING_DOWNSTAIRS" 17 "tbodyacc-mean-y" -0.0167359404347826
"318" "WALKING_DOWNSTAIRS" 18 "tbodyacc-mean-y" -0.0168666920221818
"319" "WALKING_DOWNSTAIRS" 19 "tbodyacc-mean-y" -0.0145942275069487
"320" "WALKING_DOWNSTAIRS" 20 "tbodyacc-mean-y" -0.00964120773155556
"321" "WALKING_DOWNSTAIRS" 21 "tbodyacc-mean-y" -0.0173195390157778
"322" "WALKING_DOWNSTAIRS" 22 "tbodyacc-mean-y" -0.0197999371686389
"323" "WALKING_DOWNSTAIRS" 23 "tbodyacc-mean-y" -0.0162111457238889
"324" "WALKING_DOWNSTAIRS" 24 "tbodyacc-mean-y" -0.0145730348310909
"325" "WALKING_DOWNSTAIRS" 25 "tbodyacc-mean-y" -0.0210170522987931
"326" "WALKING_DOWNSTAIRS" 26 "tbodyacc-mean-y" -0.01262580966778
"327" "WALKING_DOWNSTAIRS" 27 "tbodyacc-mean-y" -0.0135564467159091
"328" "WALKING_DOWNSTAIRS" 28 "tbodyacc-mean-y" -0.0220230465913043
"329" "WALKING_DOWNSTAIRS" 29 "tbodyacc-mean-y" -0.01494121505625
"330" "WALKING_DOWNSTAIRS" 30 "tbodyacc-mean-y" -0.0174383900204839
"331" "WALKING_UPSTAIRS" 1 "tbodyacc-mean-y" -0.0239531492643396
"332" "WALKING_UPSTAIRS" 2 "tbodyacc-mean-y" -0.0214121132045833
"333" "WALKING_UPSTAIRS" 3 "tbodyacc-mean-y" -0.0324109410555932
"334" "WALKING_UPSTAIRS" 4 "tbodyacc-mean-y" -0.0319804295729615
"335" "WALKING_UPSTAIRS" 5 "tbodyacc-mean-y" -0.0325269755153191
"336" "WALKING_UPSTAIRS" 6 "tbodyacc-mean-y" -0.0272425385070588
"337" "WALKING_UPSTAIRS" 7 "tbodyacc-mean-y" -0.0275639005607843
"338" "WALKING_UPSTAIRS" 8 "tbodyacc-mean-y" -0.0282415136341463
"339" "WALKING_UPSTAIRS" 9 "tbodyacc-mean-y" -0.0195101099975714
"340" "WALKING_UPSTAIRS" 10 "tbodyacc-mean-y" -0.0143854920340426
"341" "WALKING_UPSTAIRS" 11 "tbodyacc-mean-y" -0.0303157822055556
"342" "WALKING_UPSTAIRS" 12 "tbodyacc-mean-y" -0.0263574903403846
"343" "WALKING_UPSTAIRS" 13 "tbodyacc-mean-y" -0.0277392253910909
"344" "WALKING_UPSTAIRS" 14 "tbodyacc-mean-y" -0.0204388180024074
"345" "WALKING_UPSTAIRS" 15 "tbodyacc-mean-y" -0.0287523860708333
"346" "WALKING_UPSTAIRS" 16 "tbodyacc-mean-y" -0.0143654945011765
"347" "WALKING_UPSTAIRS" 17 "tbodyacc-mean-y" -0.0228645614308333
"348" "WALKING_UPSTAIRS" 18 "tbodyacc-mean-y" -0.0222060684378914
"349" "WALKING_UPSTAIRS" 19 "tbodyacc-mean-y" -0.0303986615775
"350" "WALKING_UPSTAIRS" 20 "tbodyacc-mean-y" -0.0282258047588235
"351" "WALKING_UPSTAIRS" 21 "tbodyacc-mean-y" -0.0237218695148936
"352" "WALKING_UPSTAIRS" 22 "tbodyacc-mean-y" -0.0268622561133333
"353" "WALKING_UPSTAIRS" 23 "tbodyacc-mean-y" -0.0323844029237255
"354" "WALKING_UPSTAIRS" 24 "tbodyacc-mean-y" -0.0251979434569492
"355" "WALKING_UPSTAIRS" 25 "tbodyacc-mean-y" -0.0269863524264615
"356" "WALKING_UPSTAIRS" 26 "tbodyacc-mean-y" -0.0281633797398182
"357" "WALKING_UPSTAIRS" 27 "tbodyacc-mean-y" -0.0200953324078431
"358" "WALKING_UPSTAIRS" 28 "tbodyacc-mean-y" -0.0279443943478431
"359" "WALKING_UPSTAIRS" 29 "tbodyacc-mean-y" -0.0299465312326531
"360" "WALKING_UPSTAIRS" 30 "tbodyacc-mean-y" -0.0253311698786154
"361" "LAYING" 1 "tbodyacc-mean-z" -0.11320355358
"362" "LAYING" 2 "tbodyacc-mean-z" -0.107245610416667
"363" "LAYING" 3 "tbodyacc-mean-z" -0.101300477506452
"364" "LAYING" 4 "tbodyacc-mean-z" -0.110688150314815
"365" "LAYING" 5 "tbodyacc-mean-z" -0.107937603673077
"366" "LAYING" 6 "tbodyacc-mean-z" -0.133119570368421
"367" "LAYING" 7 "tbodyacc-mean-z" -0.101361036576923
"368" "LAYING" 8 "tbodyacc-mean-z" -0.102245365611111
"369" "LAYING" 9 "tbodyacc-mean-z" -0.10754972144
"370" "LAYING" 10 "tbodyacc-mean-z" -0.117168642362069
"371" "LAYING" 11 "tbodyacc-mean-z" -0.108786578070175
